; ： ；
;a ！
amrz 爱民如子
ams 阿姆斯特丹
amsd 阿姆斯特丹
amv 爱美之心
amvh 挨门逐户
amvx 爱美之心
amw 奥妙无穷
amwl 傲慢无礼
amwq 奥妙无穷
amx 爱慕虚荣
amxr 爱慕虚荣
amy 安眠药
amyc 安眠药
amz 爱面子
amzi 爱面子
an 安
ana 𩽾
anan 暗暗
anb 案
anbc 安保
anbh 安邦
anbj 案板
anbm 岸边
anbn 安
anbv 按捺不住
anby 懊恼不已
anc 暗藏
anch 暗藏
anci 按此
anco 按错
and 鹌
andc 暗道
andi 暗地
andj 暗淡
andk 安定
andn 鹌
andu 安度
andy 安顿
ane 岸
aneg 岸
anf 按
anfa 案发
anff 安分
anfg 暗讽
anfh 安放
anfj 案犯
anfn 按
anfu 安抚
ang 庵
angd 庵
ange 暗格
angn 鞍
angz 暗沟
anh 黯
anhc 暗号
anhd 暗害
anhe 暗合
anhj 暗含
anhl 暗黄
anho 黯
anhs 暗红
anhv 安徽
anhw 暗黑
ani 安插
ania 安插
anic 暗潮
anif 暗沉
anih 暗娼
anil 暗疮
aniu 暗处
aniy 鹌鹑
anj 铵
anji 按季
anjk 安静
anjm 按键
anjn 暗礁
anjp 按揭
anjr 案卷
anju 安居
anjx 安家
ank 唵
ankd 唵
ankh 安康
anku 啱
ankv 暗亏
anl 案例
anla 安拉
anle 安乐
anli 案例
anlk 按铃
anlm 暗恋
anlq 暗流
anlv 暗绿
anm 桉
anma 鞍马
anmb 安民
anmf 暗门
anmi 安谧
anmm 安眠
anmn 桉
anmo 按摩
ann 按钮
anna 按捺
anng 安能
annk 安宁
annm 按年
annq 按钮
ano 暗
anon 胺
anoo 暗
anp 安排
anpd 安排
anpw 安培
anq 氨
anqb 安寝
anqg 犴
anqi 按期 暗器
anqk 案情
anqn 氨
anqr 安全
anr 俺
anrd 俺
anri 按日
anrj 安然
anrm 盦
anrz 按揉
ans 暗算
anso 暗锁
ansr 暗算
ant 埯
antd 安泰
antj 暗探
antn 垵
anto 安妥
antz 案头
anu 暗示
anua 暗杀
anuc 暗哨
anue 安设
anuf 安神
anug 安生
anuh 岸上
anui 暗示
anuj 鞍山
anuo 按说
anuu 谙熟
anuv 安睡
anv 安装
anvc 按照
anve 按着
anvi 安置
anvl 安装
anvo 安卓
anvs 暗中
anvu 按住
anw 安慰
anwf 安稳
anww 安慰
anx 安心
anxb 安心
anxi 安息
anxl 安详
anxm 暗线
anxn 暗笑
anxp 安歇
anxx 按下
any 谙
anya 按压
anye 暗夜
anyi 安逸
anyk 暗影
anyo 谙
anys 暗涌
anyt 按月
anyu 暗语
anz 案子
anzh 安葬
anzi 案子
anzo 安坐
ao 奥
aoa 奡
aoal 奡
aoan 傲岸
aoao 嗷嗷
aob 翱
aobx 翱
aoc 凹槽
aocc 凹槽
aod 澳
aodc 熬到
aodd 澳
aodi 奥迪
aoe 隩
aoed 隩
aof 熬
aof/ 嶅
aofa 鳌
aofe 聱
aofh 熬
aofi 螯
aofj 鏊
aofl 拗
aofm 骜
aofq 獒
aofw 敖
aog 鏖
aogj 鏖
aogo 熬过
aogu 傲骨
aogw 廒
aoh 懊悔
aohf 凹痕
aohv 懊悔
aoi 熬成
aoig 熬成
aoj 傲娇
aojn 傲娇
aok 嗷
aokw 嗷
aokz 拗口
aol 凹
aola 凹
aom 傲慢
aomf 澳门
aomi 奥秘
aomj 傲慢
aomn 奥妙
aon 媪
aonc 懊恼
aonm 媪
aop 袄
aopd 奥
aopy 袄
aoq 傲气
aoqd 鿫
aoqi 傲气
aor 傲
aorf 傲人
aorj 傲然
aorw 傲
aos 懊丧
aosh 懊丧
aot 坳
aoth 熬汤
aotl 坳
aotu 凹凸
aou 傲视
aoui 傲视
aouu 奥数
aov 澳洲
aovi 熬制
aovj 鏖战
aovu 熬煮
aovz 澳洲
aow 璈
aoww 璈
aox 懊
aoxd 懊
aoxl 翱翔
aoxm 凹陷
aoxx 凹下
aoy 岙
aoyc 熬药
aoye 熬夜
aoyi 奥义
aoyk 熬鹰
aoyr 澳元
aoyy 奥运
aoyz 遨游
aoz 遨
aozw 遨
ap 安排
apa 安排安排
apap 安排安排
apl 安贫乐道
apld 安贫乐道
aq 安全
aqb 哀其不幸
aqbx 哀其不幸
aqd 安全第一
aqdy 安全第一
aqg 安全感
aqgj 安全感
aqh 爱琴海
aqhd 爱琴海
aqj 安全局
aqjg 爱情价更高
aqju 安全局
aqm 鞍前马后
aqmh 鞍前马后
aqp 爱情片
aqpm 爱情片
aqq 安全起见
aqqj 安全起见
aqr 爱钱如命
aqrm 爱钱如命
aqx 安全性
aqxk 安全性
aqxu 安全系数
ar 黯然
arr 安然入睡
arrm 安然入眠
arru 安然入睡
art 傲然挺立
artl 傲然挺立
artu 安如泰山
aru 黯然失色
arus 黯然失色
aruu 黯然神伤
arw 安然无恙
arwu 安然无事
arwy 安然无恙
arx 黯然销魂
arxh 黯然销魂
ary 傲然屹立
aryl 傲然屹立
arz 安然自若
arzr 安然自若
as 暗算
asb 阿塞拜疆
asbj 阿塞拜疆
ase 埃塞俄比亚
asey 埃塞俄比亚
asj 爱斯基摩
asjm 爱斯基摩
ask 奥斯卡
aska 奥斯卡
asl 奥斯陆
aslu 奥斯陆
asp 阿司匹林
aspl 阿司匹林
asq 暗送秋波
asqb 暗送秋波
at 凹凸
atb 凹凸不平
atbp 凹凸不平
atj 凹透镜
atjk 凹透镜
atk 暗通款曲
atkq 暗通款曲
ats 按图索骥
atsj 按图索骥
atu 安徒生
atug 安徒生
atvq 安土重迁
aty 凹凸有致
atyj 哀痛欲绝
atyv 凹凸有致
au 按时
aua 碍手碍脚
auaj 碍手碍脚
aub 爱说不说
aubu 爱说不说
auk 昂首阔步
aukb 昂首阔步
aul 安身立命
aulm 安身立命
aum 阿诗玛
auma 阿诗玛
aun 爱沙尼亚
auny 爱沙尼亚
auq 傲视群雄
auqx 傲视群雄
aut 昂首挺胸
autq 唉声叹气
autx 昂首挺胸
auu 爱谁谁
auuw 爱谁谁
auv 安身之地
auvd 安身之地
auvi 安身之处
auvl 安史之乱
auvs 安身之所
av 按照
avb 安装版
avbj 安装版
ave 安枕而卧
avew 安枕而卧
avf 安知非福
avff 安知非福
avfh 安知非祸
avm 暗中摸索
avml 安装目录
avms 暗中摸索
avr 安之若素
avrs 安之若素
avw 安枕无忧
avwy 安枕无忧
avy 爱之欲其生
avyu 爱之欲其生
aw 安慰
awa 安慰安慰
awaw 安慰安慰
awh 奥委会
awhv 奥委会
awj 爱屋及乌
awjw 爱屋及乌
awt 暗无天日
awtr 暗无天日
ax 爱惜
axb 爱信不信
axbx 爱信不信
axc 暗箱操作
axcz 暗箱操作
axf 按需分配
axfp 按需分配
axh 按下葫芦起来瓢
axhp 按下葫芦起来瓢
axj 暗下决心
axjl 爱新觉罗
axjx 暗下决心
axu 暗香疏影
axuy 暗香疏影
axw 安享晚年
axwn 安享晚年
axy 爱惜羽毛
axym 爱惜羽毛
ay 安逸
ayh 奥运会
ayhv 奥运会
ays 爱因斯坦
ayst 爱因斯坦
ayv 安营扎寨
ayvv 安营扎寨
ayw 哎呦喂
ayww 哎呦喂
ayx 安于现状
ayxv 安于现状
az 暗自
azb 艾滋病
azbk 艾滋病
azf 爱憎分明
azfm 爱憎分明
azp 腌臜泼才
azpc 腌臜泼才
azq 暗自庆幸
azqx 暗自庆幸
azz 爱咋咋地
azzd 爱咋咋地
b 不 吧
ba 把
baa 鲅
baa/ 鲌
baab 鲃
baad 鲅
bab 爸
baba 爸爸
babb 疤
babc 八宝
babd 八百
babi 芭比
babk 把柄
bac 芭
bacb 芭
bacc 拔草
bacd 菝
bad 灞
bada 吧嗒
badc 霸道
badm 八点
badn 拔掉
bado 灞
badz 巴豆
bae 岜
baeb 岜
bael 北爱尔兰
baf 拔
bafb 扒
bafd 捌
bafg 把风
bafh 八方
bag 靶
bagb 靶
bagc 拔高
bagd 魃
bage 八个
bagl 扒光
bagr 把关
bags 罢工
bagu 八股
bagx 八卦
bah 疤痕
bahe 拔河
bahf 疤痕
bahl 八荒
bahu 跋扈
bahx 不安好心
bai 拔出
baib 蚆
baie 扒车
baig 八成
baih 靶场
baii 把持
bail 不按常理
baip 不按常理出牌
baiu 拔出
baj 钯
bajb 钯
baji 吧唧
bajm 拔尖
bajn 八角 芭蕉
bajp 巴结
bak 吧
bakb 叭
bakd 扒开
bake 罢课
baks 把控
bal 耙
bala 扒拉
balb 巴林
bale 罢了
bali 巴黎
balk 霸凌
ball 八两
balu 八路
balw 芭蕾
bam 粑
bama 爸妈
bamb 朳
bamc 拔毛
bamd 把脉
bamf 把门
bamm 罢免
ban 妭
band 妭
banm 八年
bao 胈
baod 胈
bap 八
bapi 扒皮
bapn 八
baq 不安全
baqi 霸气
baqm 八千
baqr 霸权
bar 八日
bari 八日
bas 罢
basd 罢赛
basi 拔丝
basl 巴
bass 罢
basv 八岁
bat 坝
batd 吧台
batm 八天
batr 坝
batv 拔腿
bau 把守
baub 㞎
baue 跋涉
baui 八十
bauu 巴蜀 不谙世事
bauz 把手
bav 巴
bavb 笆
bave 八折
bavh 巴掌
bavj 霸占
bavu 霸主
bavv 巴
baw 把握
bawf 把稳
bawh 霸王
bawj 把玩
bawo 把握
bax 把戏
baxb 靶心
baxi 巴西
baxm 八仙
baxq 罢休
baxx 拔下
baxy 八旬
bay 霸
baya 拔牙
bayb 羓
baye 霸业
bayi 八一
bayk 拔营
bayo 霸
bayt 八月
baz 跋
bazd 跋
bazi 八字
bazu 保安族
bb 滨
bba 鬓
bbab 鬓
bbb 宾
bbbb 宾
bbbc 包不包
bbbd 不比不知道
bbbe 邠
bbbh 帮不帮
bbbi 并不比
bbbk 不卑不亢
bbbp 别别别
bbbu 不不不
bbby 褒贬不一
bbd 殡
bbdb 殡
bbdc 办不到
bbdd 斑斑点点
bbde 巴不得
bbdj 并不多见
bbdn 百般刁难
bbdr 濒
bbds 巴巴多斯
bbdt 包办代替
bbdv 不必当真
bbdy 逼不得已
bbe 豳
bbeu 豳
bbf 摈
bbfb 摈
bbff 缤纷 本本分分
bbfi 百般奉承
bbfw 百般抚慰
bbg 髌
bbgb 髌
bbgo 比不过
bbgr 宾馆
bbgu 步步高升
bbh 并不会
bbhd 滨海
bbhe 滨河
bbhu 滨湖
bbhv 并不会
bbhy 包办婚姻
bbi 办不成
bbig 办不成
bbiu 百病缠身
bbiy 百步穿杨
bbj 镔
bbjb 步步紧逼
bbjl 滨江 变本加厉
bbjn 鬓角
bbju 比比皆是
bbjv 标本兼治
bbjx 步步惊心
bbk 不包括
bbke 宾客
bbko 不包括
bbkq 必不可缺
bbku 必不可少
bbl 八百里
bblb 濒临
bblf 白白浪费
bblh 步步莲花
bbli 宾利
bbll 冰冰凉凉 斑驳陆离
bblm 殡殓
bblx 便把令来行
bbly 巴比伦
bbm 彬
bbmb 槟
bbmc 鬓毛
bbmd 把把脉
bbmh 帮帮忙
bbmm 爸爸妈妈
bbmp 彬
bbn 并不能
bbng 并不能
bbo 膑
bbob 膑
bbp 宾朋
bbpg 宾朋
bbpp 白白胖胖
bbq 北半球
bbqg 彪炳千古
bbqi 摈弃
bbql 跛鳖千里
bbqq 北半球
bbr 傧
bbrb 傧
bbrd 兵败如山倒
bbrw 并不认为
bbry 并不容易
bbs 缤
bbsb 缤
bbsi 濒死
bbt 棒棒糖
bbth 棒棒糖
bbtt 蹦蹦跳跳
bbu 并不是
bbuh 比不上
bbui 并不是
bbum 帮不上忙
bbuu 并不是说
bbuz 摆摆手
bbv 八宝粥
bbvd 并不知道
bbvj 八拜之交
bbvm 百般折磨
bbvu 宾主 秉笔直书
bbvw 不辨真伪
bbvy 不白之冤
bbvz 八宝粥
bbw 斌
bbwd 玢
bbwi 卑鄙无耻
bbwj 北部湾
bbwn 被逼无奈
bbwq 并不完全
bbwv 斌
bbww 濒危
bbwx 白璧微瑕
bbwy 步步为营
bbx 并不想
bbxl 并不想
bbxr 兵不血刃
bbxy 并不需要
bby 不必要
bbyc 不必要
bbyd 并不一定
bbyh 北冰洋
bbyl 彬彬有礼
bbyu 宾语
bbyv 兵不厌诈
bbyw 并不意外
bbyy 巴布亚新几内亚
bbz 半辈子
bbzh 殡葬
bbzi 半辈子
bbzn 百般阻挠
bbzr 不把自己当外人
bbzy 不必在意
bc 报 宝
bca 鲍
bcan 保安
bcas 鲍
bcb 包 鸨
bcbc 宝宝
bcbd 刨
bcbf 保本
bcbi 包庇
bcbj 包办
bcbk 刨冰
bcbm 褒贬
bcbn 报表 保镖
bcbs 包
bcbw 宝贝
bcby 宝
bcc 薄
bccc 薄
bccd 包菜
bcch 爆仓
bccj 饱餐
bccm 葆
bcco 报错
bccs 苞
bccy 保存
bcd 瀑
bcda 报答
bcdc 报道 报到
bcdi 保底
bcdj 保单
bcdk 保定
bcdm 宝典
bcdp 暴跌
bcds 暴动
bcdu 报毒
bce 剥
bceb 不辞而别
bced 剥
bcen 报恩
bcf 抱
bcfa 爆发
bcfg 暴风
bcfh 包房
bcfs 抱
bcfu 报复 包袱
bcfw 报废
bcfy 不测风云
bcg 报告
bcgc 报告
bcgd 宝盖
bcge 饱嗝
bcgj 包干
bcgl 曝光
bcgm 本草纲目
bcgo 包裹
bcgr 保管
bcgs 包公
bcgu 包谷
bcgv 宝贵
bch 爆
bchc 包好
bche 饱和
bchf 抱恨
bchj 包含
bchr 包换
bchs 炮
bchu 保护
bchx 包藏祸心
bci 报仇
bcia 宝刹
bcic 爆炒 包抄
bcie 包车
bcih 包场
bcii 保持
bcil 刨床
bciu 爆出
bciz 报酬
bcj 宝剑
bcjb 抱紧
bcjd 不存芥蒂
bcji 宝鸡
bcjk 报警
bcjl 褒奖
bcjm 保健
bcjp 保洁
bcju 保举
bcjx 报价
bcjy 暴君
bck 包括
bckc 报考
bcke 剥壳
bcki 病从口入，祸从口出
bckj 报刊
bcko 包括
bckr 病从口入
bcks 暴恐
bcku 宝库
bcl 不错了
bcle 报了
bclg 爆冷
bcli 暴力
bclj 包揽
bclk 不辞劳苦
bcln 爆料
bclo 包罗
bclp 爆裂
bclq 保留
bclr 暴乱
bclu 暴露
bclw 堡垒
bcm 报幕
bcma 宝马
bcmb 百辞莫辩
bcmi 保密
bcmj 饱满
bcmk 报名
bcmo 薄膜
bcms 枹
bcmu 保姆
bcmw 胞妹
bcn 保暖
bcnm 包年
bcnr 保暖
bcnt 暴虐
bcnu 暴怒
bco 暴
bcos 胞
bcou 曝
bcp 褓
bcpg 爆棚
bcpi 报批
bcpj 报盘
bcpm 薄片
bcpn 包票
bcpo 爆破
bcpw 包赔
bcq 抱歉
bcqi 抱起
bcqk 报请
bcqm 抱歉
bcqr 保全
bcqu 抱屈
bcr 保
bcrf 保人
bcrh 煲
bcrm 保
bcrs 包容
bcrt 堡
bcs 报送
bcsh 报丧
bcsi 暴死
bcss 报送
bct 包退
bcta 宝塔
bctd 爆胎
bcth 煲汤
bctj 报摊
bctk 报亭
bctn 暴跳
bctr 抱团
bctu 暴徒
bctv 包退
bctz 包头
bcu 饱
bcud 暴晒
bcue 报社
bcuf 报审
bcuh 报上
bcui 宝石
bcuj 宝山
bcuq 抱残守缺
bcus 饱
bcuu 报数
bcuv 报税
bcuz 保守
bcv 豹 龅
bcva 爆炸
bcve 抱着
bcvf 抱枕
bcvg 保证
bcvh 保障
bcvi 报纸
bcvj 报站
bcvl 包装 悲从中来
bcvs 保重
bcvu 抱住
bcvy 保准
bcvz 煲粥
bcw 褒
bcwa 辩才无碍
bcwf 保温
bcwn 博茨瓦纳
bcwu 宝物
bcww 包围 保卫
bcwy 褒
bcx 保鲜
bcxb 报信
bcxi 报喜
bcxk 暴行
bcxl 包厢 不辞辛劳
bcxm 保险
bcxn 报销
bcxq 保修
bcxs 胞兄
bcxt 暴雪
bcxx 包下
bcy 雹
bcya 龅牙
bcye 包夜
bcyh 保养
bcyi 报以
bcyk 报应
bcyr 抱怨
bcys 雹
bcyt 包月
bcyu 暴雨
bcyz 保佑 包邮
bcz 趵
bcza 包扎
bczc 暴躁
bczg 暴增
bczh 宝藏
bczi 包子 豹子
bczo 宝座
bczs 孢
bczu 包租
bczz 暴走
bd 白
bda 百
bdab 百
bdb 不得不
bdbc 百宝
bdbd 拜拜
bdbf 不得不服
bdbi 败笔
bdbj 白班
bdbk 百病
bdbl 宝刀不老
bdbm 百变
bdbp 拜别
bdbq 百毒不侵
bdbt 不得不低头
bdbu 摆布 不打不相识
bdbw 百倍
bdbx 不大不小
bdby 百读不厌
bdc 白菜
bdcc 百草
bdcd 白菜
bdcu 白醋
bdd 不单单
bdda 白搭
bddc 拜倒
bddd 白带
bddi 白底
bddj 不单单
bddk 白丁
bddm 白点
bdds 摆动
bddt 不登大雅之堂
bddu 百度
bddy 不登大雅
bde 不得而知
bdei 背道而驰
bdeq 拔地而起
bdev 不得而知
bdf 摆
bdfa 白发
bdff 百分
bdfg 白癜风
bdfh 拜访 摆放
bdfj 白饭
bdfo 拜佛
bdfs 摆
bdfu 捭
bdfw 白费
bdg 白干
bdge 白鸽
bdgj 白干
bdgl 白光
bdgo 白果
bdgr 百官
bdgs 白宫
bdgu 白骨
bdgw 败给
bdh 稗 北戴河
bdhc 摆好
bdhe 百合
bdhk 败坏
bdhl 憋得慌
bdho 百货
bdhs 不得好死 不到黄河心不死
bdhu 白虎
bdhv 拜会
bdhx 白话
bdhz 白底黑字
bdi 不动产
bdia 白茶
bdih 不到长城非好汉
bdii 白痴
bdij 不动产
bdir 百川
bdiu 摆出
bdj 不对劲
bdjb 白金
bdjg 兵多将广 不当家不知柴米贵
bdji 败绩
bdjk 白净
bdjm 摆件 拜见
bdjq 白酒
bdjr 白卷
bdju 败局 博大精深
bdjw 不懂就问
bdjx 败家
bdjy 败军
bdk 败
bdkd 掰开
bdke 百科
bdkh 遍地开花
bdkn 不大可能
bdko 摆阔
bdkr 呗
bdkw 败
bdl 不得了
bdle 白了
bdlg 布达拉宫
bdli 背地里
bdlk 白领
bdll 不得了了
bdlm 白脸
bdln 不得了
bdlo 败落
bdlu 败露 白鹭
bdlw 败类
bdm 柏 帮倒忙
bdma 白马
bdmb 柏
bdmc 白猫
bdmd 不达目的
bdmh 白忙
bdmi 百米
bdmj 摆满
bdmk 摆明
bdmm 白面
bdmn 白描
bdmo 白沫
bdn 拜年
bdnf 白嫩
bdnl 表达能力
bdnm 百年
bdnn 百鸟
bdns 摆弄
bdp 摆平
bdpi 白皮
bdpk 摆平
bdpo 白
bdpu 摆谱
bdq 不定期
bdqf 不得其法
bdqi 白旗
bdql 百强
bdqs 不得其所
bdqx 北斗七星
bdqy 白裙
bdr 佰
bdrb 伯
bdrf 白人
bdri 白日
bdru 不动如山
bdrx 不得人心
bdrz 白肉
bds 不打算
bdse 白色 百色
bdsh 冰冻三尺，非一日之寒
bdsi 冰冻三尺
bdsr 不打算
bdss 白送
bdsu 败诉
bdsv 百岁
bdt 摆脱
bdtd 百态
bdtg 不断提高
bdth 白糖 拜堂
bdti 拔得头筹
bdtj 摆摊
bdtm 白天
bdtn 白条
bdto 拜托
bdtu 白兔
bdtv 败退
bdtz 白头
bdu 拜
bdua 白纱
bdue 摆设
bduf 拜神
bduh 摆上
bdui 拜师
bduj 拜山
bduo 白说
bdus 不动声色
bduu 掰
bduv 不得善终
bduz 拜寿
bdv 别当真
bdvc 百兆
bdvd 不懂装懂
bdve 摆着
bdvf 别当真
bdvg 摆正
bdvh 败仗
bdvi 白纸
bdvj 百战
bdvo 白灼
bdvz 白昼
bdw 本单位
bdwg 不倒翁
bdwj 百万
bdwl 不得无礼
bdwu 不断完善
bdww 百位
bdx 北斗星
bdxi 白皙
bdxk 百姓
bdxm 白线
bdxp 拜谢
bdxt 白雪
bdxv 拔刀相助
bdy 不等于
bdyb 白银
bdyc 白药
bdye 百业
bdyh 白羊
bdyi 不得已
bdyj 白眼
bdyk 不答应
bdyl 弊大于利 不得要领
bdyr 百元
bdyu 白玉
bdyv 步调一致 不得已而为之
bdyw 不得有误
bdyy 白云
bdyz 柏油
bdz 半吊子
bdzd 摆在
bdzi 白字
bdzo 白做
bdzu 白族
bdzv 不打自招
bdzz 败走
be 不饿
beb 博而不精
bebd 避而不答
bebj 避而不见
bebt 避而不谈
beby 备而不用
bef 不二法门
befm 不二法门
befz 不二法则
beg 巴尔干
begj 巴尔干
bel 白俄罗斯
bels 白俄罗斯
beu 布尔什维克
beuk 布尔什维克
bev 不二之选
bevk 巴尔扎克
bevx 不二之选
bf 本 笨
bfa 本
bfaa 本
bfan 本案
bfb 坌
bfbc 不分彼此
bfbd 百分百
bfbf 笨笨
bfbi 百分比
bfbm 不方便
bfbn 本表
bfbo 奔波
bfbt 坌
bfbu 本部
bfbv 百发百中
bfc 苯
bfcb 苯
bfcc 白发苍苍
bfci 本次
bfcu 不负此生
bfcz 不复存在
bfd 奔
bfdc 奔
bfdh 本当
bfdi 本地
bfdj 笨蛋
bfdm 百分点
bfdn 不复当年
bfdv 本队
bfdx 百废待兴
bff 本分
bfff 本分
bffh 奔放
bffu 奔赴
bffw 本非
bffz 不法分子
bfg 本该
bfgd 本该
bfgo 本国
